congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
82,President,99900,99,0,USA,100,0,0,"TRUMAN, Harry S.",T000387,1884,1972,-0.374,0.014,-0.97539,0.95,19,0,,,
82,House,195,41,3,AL,100,0,1,"ANDREWS, George William",A000206,1906,1971,-0.03,1.0,-65.34207,0.654,154,32,,-0.069,0.998
82,House,520,41,9,AL,100,0,1,"BATTLE, Laurie Calvin",B000242,1912,2000,-0.187,0.837,-47.84562,0.709,139,22,,-0.142,0.535
82,House,937,41,1,AL,100,0,1,"BOYKIN, Frank William",B000725,1885,1969,-0.105,0.849,-37.37679,0.71,109,20,,-0.073,0.726
82,House,2468,41,6,AL,100,0,1,"deGRAFFENRIED, Edward",D000198,1899,1974,-0.291,0.957,-29.31786,0.812,141,9,,-0.313,0.95
82,House,2909,41,7,AL,100,0,1,"ELLIOTT, Carl Atwood",E000120,1913,1999,-0.381,0.905,-31.27059,0.806,145,15,,-0.366,0.821
82,House,3754,41,2,AL,100,0,1,"GRANT, George McInvale",G000381,1897,1982,-0.117,0.993,-45.33059,0.744,153,16,,-0.168,0.986
82,House,5058,41,8,AL,100,0,1,"JONES, Robert Emmett, Jr.",J000248,1912,1997,-0.358,0.866,-39.02884,0.775,153,18,,-0.295,0.726
82,House,7695,41,5,AL,100,0,1,"RAINS, Albert McKinley",R000018,1902,1991,-0.342,0.934,-22.24913,0.846,133,9,,-0.322,0.863
82,House,7954,41,4,AL,100,0,1,"ROBERTS, Kenneth Allison",R000314,1912,1989,-0.282,0.895,-32.75135,0.789,138,14,,-0.253,0.808
82,House,6799,61,1,AZ,100,0,1,"MURDOCK, John Robert",M001081,1885,1972,-0.329,0.326,-22.27142,0.849,136,11,,-0.34,0.476
82,House,7234,61,2,AZ,100,0,1,"PATTEN, Harold Ambrose",P000107,1907,1969,-0.099,0.406,-91.28119,0.546,151,50,,-0.038,0.608
82,House,3506,42,1,AR,100,0,1,"GATHINGS, Ezekiel Candler",G000098,1903,1979,0.012,0.978,-47.61695,0.725,148,20,,0.026,0.982
82,House,4110,42,7,AR,100,0,1,"HARRIS, Oren",H000249,1903,1997,-0.179,0.949,-53.99919,0.709,157,26,,-0.113,0.923
82,House,4244,42,5,AR,100,0,1,"HAYS, Lawrence Brooks",H000405,1898,1981,-0.269,0.688,-33.64007,0.794,146,11,,-0.329,0.817
82,House,6532,42,2,AR,100,0,1,"MILLS, Wilbur Daigh",M000778,1909,1992,-0.237,0.894,-49.83141,0.725,155,20,,-0.221,0.866
82,House,6958,42,6,AR,100,0,1,"NORRELL, William Frank",N000137,1896,1961,-0.038,0.994,-64.1848,0.648,148,30,,-0.045,0.999
82,House,9148,42,4,AR,100,0,1,"TACKETT, Boyd Anderson",T000005,1911,1985,-0.1,0.832,-52.09141,0.628,112,25,,-0.148,0.796
