congress,chamber,rollnumber,icpsr,cast_code,prob
82,House,1,1,6,96.7
82,House,1,2,1,98.4
82,House,1,13,1,99.4
82,House,1,18,6,99.3
82,House,1,46,1,98.5
82,House,1,62,1,100.0
82,House,1,100,1,100.0
82,House,1,116,6,99.9
82,House,1,121,6,100.0
82,House,1,158,6,98.8
82,House,1,173,6,98.5
82,House,1,188,6,98.9
82,House,1,195,1,99.9
82,House,1,205,1,100.0
82,House,1,207,7,99.3
82,House,1,226,6,100.0
82,House,1,235,6,99.1
82,House,1,275,1,100.0
82,House,1,291,6,100.0
82,House,1,310,6,99.5
82,House,1,339,1,100.0
82,House,1,364,6,87.4
82,House,1,431,1,99.9
82,House,1,433,1,98.5
82,House,1,465,1,100.0
82,House,1,516,1,100.0
82,House,1,518,6,100.0
82,House,1,520,1,100.0
82,House,1,546,6,100.0
82,House,1,550,6,99.9
82,House,1,567,1,100.0
82,House,1,590,6,97.0
82,House,1,621,6,100.0
82,House,1,633,1,98.2
82,House,1,639,6,87.7
82,House,1,660,1,99.8
82,House,1,672,6,98.9
82,House,1,680,6,99.9
82,House,1,731,6,100.0
82,House,1,758,6,100.0
82,House,1,789,1,100.0
82,House,1,823,6,100.0
82,House,1,824,1,100.0
82,House,1,835,1,100.0
82,House,1,837,6,100.0
82,House,1,846,1,100.0
82,House,1,869,1,99.4
82,House,1,891,6,100.0
82,House,1,937,1,100.0
82,House,1,971,6,99.9
82,House,1,986,6,96.4
82,House,1,998,1,98.9
82,House,1,1000,6,100.0
82,House,1,1081,1,100.0
82,House,1,1104,6,100.0
82,House,1,1130,1,100.0
82,House,1,1152,6,99.9
82,House,1,1181,1,100.0
82,House,1,1184,1,100.0
82,House,1,1205,1,100.0
82,House,1,1215,6,99.9
82,House,1,1218,6,100.0
82,House,1,1254,6,56.0
82,House,1,1282,1,99.9
82,House,1,1300,1,99.2
82,House,1,1316,1,100.0
82,House,1,1324,6,100.0
82,House,1,1328,6,100.0
82,House,1,1340,6,100.0
82,House,1,1369,1,99.9
82,House,1,1371,6,100.0
82,House,1,1439,1,100.0
