congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
95,President,99906,99,0,USA,100,0,0,"CARTER, James Earl, Jr.",,1924,,-0.504,0.119,-138.80419,0.712,408,59,,,
95,House,10706,41,6,AL,200,0,1,"BUCHANAN, John Hall, Jr.",B001008,1928,2018.0,0.146,-0.118,-511.7116,0.638,1140,238,,0.059,-0.296
95,House,10717,41,2,AL,200,0,1,"DICKINSON, William Louis",D000326,1925,2008.0,0.398,-0.057,-342.51259,0.724,1062,149,,0.289,0.207
95,House,10721,41,1,AL,200,0,1,"EDWARDS, William Jackson (Jack)",E000084,1928,2019.0,0.177,0.161,-380.81636,0.719,1156,169,,0.114,0.149
95,House,11000,41,4,AL,100,0,1,"BEVILL, Tom",B000431,1921,2005.0,-0.213,0.976,-394.06496,0.714,1169,177,,-0.193,0.885
95,House,11037,41,3,AL,100,0,1,"NICHOLS, William Flynt",N000095,1918,1988.0,-0.042,0.872,-322.684,0.753,1138,130,,-0.028,0.687
95,House,12014,41,7,AL,100,0,1,"FLOWERS, Walter",F000218,1933,1984.0,-0.147,0.718,-309.19123,0.707,890,144,,-0.169,0.551
95,House,14419,41,5,AL,100,0,1,"FLIPPO, Ronnie Gene",F000208,1937,,-0.175,0.834,-332.32433,0.711,976,153,,-0.204,0.816
95,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,2022.0,0.283,0.022,-442.30625,0.61636,914,193,,0.157,0.29
95,House,7845,61,1,AZ,200,0,1,"RHODES, John Jacob",R000188,1916,2003.0,0.225,-0.033,-358.44966,0.703,1017,165,,0.203,-0.003
95,House,10566,61,2,AZ,100,0,1,"UDALL, Morris King",U000001,1922,1998.0,-0.387,0.008,-242.76629,0.8,1088,100,,-0.404,-0.083
95,House,14449,61,4,AZ,200,0,1,"RUDD, Eldon Dean",R000495,1920,2002.0,0.422,0.611,-257.72518,0.79,1095,117,,0.477,0.431
95,House,94454,61,3,AZ,100,0,1,"STUMP, Robert Lee",S001044,1927,2003.0,0.329,0.944,-372.86817,0.711,1092,163,,0.243,0.97
95,House,11020,42,3,AR,200,0,1,"HAMMERSCHMIDT, John Paul",H000124,1922,2015.0,0.253,0.239,-454.87459,0.674,1151,219,,0.275,0.267
95,House,12000,42,1,AR,100,0,1,"ALEXANDER, William Vollie (Bill), Jr.",A000103,1934,,-0.41,0.819,-329.04417,0.731,1049,160,,-0.379,0.551
95,House,14058,42,4,AR,100,0,1,"THORNTON, Raymond Hoyt (Ray), Jr.",T000243,1928,2016.0,-0.306,0.635,-317.50193,0.701,893,157,,-0.337,0.553
95,House,14457,42,2,AR,100,0,1,"TUCKER, James (Jim) Guy, Jr.",T000400,1943,,-0.33,0.078,-285.79566,0.713,845,129,,-0.333,0.094
95,House,4957,71,1,CA,100,0,1,"JOHNSON, Harold Terry",J000135,1907,1988.0,-0.439,0.503,-266.76749,0.783,1089,95,,-0.475,0.518
95,House,6240,71,14,CA,100,0,1,"McFALL, John Joseph",M000436,1918,2006.0,-0.468,0.442,-260.94975,0.799,1161,89,,-0.537,0.474
95,House,6756,71,3,CA,100,0,1,"MOSS, John Emerson",M001035,1915,1997.0,-0.582,0.191,-295.56804,0.717,889,122,,-0.579,0.176
95,House,8549,71,15,CA,100,0,1,"SISK, Bernice Frederic",S000454,1910,1995.0,-0.388,0.52,-348.85333,0.69,941,164,,-0.349,0.737
95,House,10249,71,41,CA,200,0,1,"WILSON, Robert Carlton (Bob)",W000610,1916,1999.0,0.264,-0.265,-553.09288,0.598,1077,254,,0.293,-0.373
95,House,10511,71,21,CA,100,0,1,"CORMAN, James Charles",C000780,1920,2000.0,-0.53,0.098,-212.40185,0.826,1109,78,,-0.585,0.206
95,House,10553,71,26,CA,200,0,1,"ROUSSELOT, John Harbin",R000469,1927,2003.0,0.601,0.164,-251.53254,0.8,1127,99,,0.616,0.216
95,House,10573,71,36,CA,100,0,1,"BROWN, George Edward, Jr.",B000918,1920,1999.0,-0.506,-0.028,-222.97022,0.804,1021,82,,-0.533,-0.069
95,House,10577,71,6,CA,100,0,1,"BURTON, Phillip",B001156,1926,1983.0,-0.634,-0.304,-195.0665,0.836,1088,71,,-0.613,-0.42
95,House,10579,71,2,CA,200,0,1,"CLAUSEN, Donald Holst",C000475,1923,2015.0,0.16,0.036,-337.68796,0.734,1092,138,,0.18,0.044
95,House,10580,71,33,CA,200,0,1,"CLAWSON, Delwin Morgan",C000476,1914,1992.0,0.483,0.132,-223.37483,0.792,957,98,,0.586,0.228
95,House,10583,71,10,CA,100,0,1,"EDWARDS, William Donlon (Don)",E000064,1915,2015.0,-0.599,-0.419,-205.98273,0.838,1167,84,,-0.586,-0.348
95,House,10595,71,29,CA,100,0,1,"HAWKINS, Augustus Freeman (Gus)",H000367,1907,2007.0,-0.517,-0.369,-243.85414,0.795,1061,97,,-0.582,0.064
95,House,10599,71,4,CA,100,0,1,"LEGGETT, Robert Louis",L000221,1926,1997.0,-0.468,0.158,-312.7219,0.73,993,130,,-0.435,0.225
95,House,10621,71,25,CA,100,0,1,"ROYBAL, Edward R.",R000485,1916,2005.0,-0.61,-0.141,-250.3378,0.801,1130,105,,-0.617,-0.058
95,House,10633,71,42,CA,100,0,1,"VAN DEERLIN, Lionel",V000024,1914,2008.0,-0.401,-0.005,-340.27404,0.735,1106,138,,-0.406,0.005
95,House,10640,71,31,CA,100,0,1,"WILSON, Charles Herbert",W000571,1917,1984.0,-0.39,0.357,-401.87124,0.627,861,168,,-0.474,0.843
95,House,11055,71,39,CA,200,0,1,"WIGGINS, Charles Edward",W000448,1927,2000.0,0.359,-0.284,-488.46674,0.597,948,235,,0.286,-0.144
95,House,11063,71,12,CA,200,0,1,"McCLOSKEY, Paul Norton , Jr. (Pete)",M000343,1927,,0.028,-0.634,-458.45609,0.648,1057,228,,-0.037,-0.547
95,House,12001,71,32,CA,100,0,1,"ANDERSON, Glenn Malcolm",A000189,1913,1994.0,-0.269,-0.052,-536.71235,0.628,1153,248,,-0.261,-0.04
95,House,12037,71,20,CA,200,0,1,"GOLDWATER, Barry Morris, Jr.",G000268,1938,,0.355,-0.025,-310.77342,0.748,1070,128,,0.345,0.049
95,House,13010,71,30,CA,100,0,1,"DANIELSON, George Elmore",D000043,1915,1998.0,-0.477,0.256,-255.86679,0.809,1204,99,,-0.509,0.296
95,House,13011,71,8,CA,100,0,1,"DELLUMS, Ronald V.",D000222,1935,2018.0,-0.644,-0.646,-250.68188,0.798,1108,100,,-0.564,-0.68
95,House,14007,71,43,CA,200,0,1,"BURGENER, Clair Walter",B001080,1921,2006.0,0.281,0.019,-340.24211,0.739,1123,144,,0.233,0.06
95,House,14008,71,28,CA,100,0,1,"BURKE, Yvonne Brathwaite",B001102,1932,,-0.576,-0.177,-163.15993,0.823,836,62,,-0.58,-0.118
95,House,14028,71,18,CA,200,1,1,"KETCHUM, William Matthew",K000153,1921,1978.0,0.348,0.246,-257.26601,0.732,824,108,,0.311,0.267
95,House,14040,71,22,CA,200,0,1,"MOORHEAD, Carlos John",M000926,1922,2011.0,0.465,-0.119,-310.52076,0.77,1186,112,,0.424,0.0
95,House,14049,71,11,CA,100,0,1,"RYAN, Leo Joseph",R000558,1925,1978.0,-0.364,0.001,-456.60878,0.66,1099,200,,-0.337,-0.049
95,House,14053,71,9,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,2020.0,-0.631,-0.605,-260.15683,0.791,1112,116,,-0.573,-0.752
95,House,14071,71,19,CA,200,0,1,"LAGOMARSINO, Robert John",L000020,1926,2021.0,0.378,-0.267,-370.00829,0.738,1217,153,,0.304,-0.057
95,House,14076,71,5,CA,100,0,1,"BURTON, John Lowell",B001153,1932,,-0.413,-0.783,-351.22279,0.705,1005,140,,-0.374,-0.762
95,House,14229,71,34,CA,100,0,1,"HANNAFORD, Mark Warren",H000166,1925,1985.0,-0.295,-0.043,-369.14211,0.728,1161,170,,-0.285,-0.007
95,House,14246,71,17,CA,100,0,1,"KREBS, John Hans",K000325,1926,2014.0,-0.279,-0.12,-449.11097,0.69,1211,201,,-0.271,-0.145
95,House,14250,71,35,CA,100,0,1,"LLOYD, James Fredrick",L000379,1922,2012.0,-0.218,-0.032,-580.75548,0.611,1178,217,,-0.227,0.021
95,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-282.76421,0.755,1006,119,,-0.472,-0.676
95,House,14257,71,13,CA,100,0,1,"MINETA, Norman Y.",M000794,1931,2022.0,-0.479,-0.01,-225.23771,0.825,1174,79,,-0.465,-0.084
95,House,14266,71,38,CA,100,0,1,"PATTERSON, Jerry Mumford",P000121,1934,,-0.367,0.007,-262.32238,0.783,1074,92,,-0.409,0.035
95,House,14280,71,24,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-211.37041,0.817,1046,88,,-0.5,-0.317
95,House,14287,71,37,CA,200,0,1,"PETTIS, Shirley Neil",P000273,1924,2016.0,0.209,-0.179,-358.0912,0.696,989,166,,0.19,-0.208
95,House,14403,71,40,CA,200,0,1,"BADHAM, Robert Edward",B000024,1929,2005.0,0.541,0.084,-269.01798,0.779,1079,114,,0.484,0.275
95,House,14405,71,23,CA,100,0,1,"BEILENSON, Anthony Charles",B000318,1932,2017.0,-0.44,-0.605,-299.01552,0.76,1087,131,,-0.602,-0.538
95,House,14414,71,27,CA,200,0,1,"DORNAN, Robert Kenneth",D000435,1933,,0.49,-0.111,-337.20945,0.742,1131,136,,0.465,-0.024
95,House,14444,71,16,CA,100,0,1,"PANETTA, Leon Edward",P000047,1938,,-0.258,-0.186,-503.10156,0.653,1182,245,,-0.165,-0.299
95,House,10723,62,3,CO,100,0,1,"EVANS, Frank Edward",E000240,1923,2010.0,-0.331,0.121,-400.56544,0.683,1049,173,,-0.4,0.218
95,House,14002,62,5,CO,200,0,1,"ARMSTRONG, William Lester",A000219,1937,2016.0,0.508,-0.14,-296.35493,0.728,935,132,,0.481,-0.19
95,House,14025,62,4,CO,200,0,1,"JOHNSON, James Paul (Jim)",J000148,1930,,0.162,-0.249,-477.74087,0.631,1037,230,,0.114,-0.222
95,House,14051,62,1,CO,100,0,1,"SCHROEDER, Patricia Scott",S000142,1940,2023.0,-0.225,-0.974,-499.14283,0.66,1202,226,,-0.196,-0.703
95,House,14282,62,2,CO,100,0,1,"WIRTH, Timothy E.",W000647,1939,,-0.293,-0.315,-402.80955,0.701,1133,172,,-0.245,-0.439
95,House,3553,1,3,CT,100,0,1,"GIAIMO, Robert Nicholas",G000151,1919,2006.0,-0.318,0.093,-383.47334,0.689,1029,174,,-0.369,0.058
95,House,13009,1,1,CT,100,0,1,"COTTER, William Ross",C000799,1926,1981.0,-0.313,0.103,-325.45838,0.729,1028,155,,-0.327,0.147
95,House,13029,1,4,CT,200,0,1,"McKINNEY, Stewart Brett",M000527,1931,1987.0,-0.006,-0.609,-446.53582,0.672,1124,219,,-0.029,-0.589
95,House,14050,1,5,CT,200,0,1,"SARASIN, Ronald Arthur",S000062,1934,2023.0,0.133,-0.591,-498.85904,0.663,1212,219,,0.143,-0.654
95,House,14213,1,2,CT,100,0,1,"DODD, Christopher John",D000388,1944,,-0.328,-0.317,-302.09497,0.754,1069,138,,-0.349,-0.271
95,House,14258,1,6,CT,100,0,1,"MOFFETT, Anthony John, Jr. (Toby)",M000839,1944,,-0.377,-0.756,-296.64707,0.77,1133,125,,-0.353,-0.78
95,House,14417,11,1,DE,200,0,1,"EVANS, Thomas Beverley, Jr.",E000258,1931,,0.178,-0.384,-403.81025,0.704,1151,185,,0.192,-0.326
