congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
82,President,99900,99,0,USA,100,0,0,"TRUMAN, Harry S.",T000387,1884,1972,-0.374,0.014,-0.97539,0.95,19,0,,,
82,Senate,4418,41,0,AL,100,0,1,"HILL, Joseph Lister",H000598,1894,1984,-0.265,0.851,-64.68612,0.805,298,29,,-0.4,0.6
82,Senate,8764,41,0,AL,100,0,1,"SPARKMAN, John Jackson",S000701,1899,1985,-0.204,0.795,-67.85629,0.771,261,30,,-0.355,0.501
82,Senate,4227,61,0,AZ,100,0,1,"HAYDEN, Carl Trumbull",H000385,1877,1972,-0.221,0.334,-82.44666,0.754,292,30,,-0.367,0.93
82,Senate,6242,61,0,AZ,100,0,1,"McFARLAND, Ernest William",M000438,1894,1984,-0.252,0.708,-67.64715,0.798,299,29,,-0.297,0.825
82,Senate,3388,42,0,AR,100,0,1,"FULBRIGHT, James William",F000401,1905,1995,-0.38,0.925,-82.10854,0.723,253,34,,-0.269,0.738
82,Senate,6151,42,0,AR,100,0,1,"McCLELLAN, John Little",M000332,1896,1977,0.017,0.962,-87.26588,0.727,274,37,,0.054,0.854
82,Senate,5343,71,0,CA,200,0,1,"KNOWLAND, William Fife",K000292,1908,1974,0.227,-0.453,-102.78629,0.67,257,57,,0.191,-0.317
82,Senate,6939,71,0,CA,200,0,1,"NIXON, Richard Milhous",N000116,1913,1994,0.162,-0.388,-97.35943,0.703,276,50,,0.162,-0.476
82,Senate,4949,62,0,CO,100,0,1,"JOHNSON, Edwin Carl",J000127,1884,1970,0.01,0.537,-119.76406,0.639,267,50,,0.036,0.56
82,Senate,6525,62,0,CO,200,0,1,"MILLIKIN, Eugene Donald",M000771,1891,1958,0.271,-0.079,-80.53372,0.747,276,34,,0.307,0.007
82,Senate,659,1,0,CT,100,0,1,"BENTON, William",B000399,1900,1973,-0.535,-0.578,-49.89363,0.82,251,22,,-0.561,-0.716
82,Senate,6346,1,0,CT,100,0,1,"McMAHON, Brien",M000559,1903,1952,-0.343,-0.411,-42.40682,0.824,219,21,,-0.365,-0.282
82,Senate,3349,11,0,DE,100,0,1,"FREAR, Joseph Allen, Jr.",F000356,1903,1993,0.034,0.477,-170.23282,0.555,289,85,,0.026,0.085
82,Senate,10163,11,0,DE,200,0,1,"WILLIAMS, John James",W000518,1904,1988,0.603,-0.442,-93.50379,0.727,293,42,,0.498,-0.867
82,Senate,4520,43,0,FL,100,0,1,"HOLLAND, Spessard Lindsey",H000720,1892,1971,0.009,0.599,-109.53269,0.696,302,51,,-0.036,0.646
82,Senate,8593,43,0,FL,100,0,1,"SMATHERS, George Armistead",S000505,1913,2007,-0.143,0.714,-92.93272,0.678,239,40,,-0.126,0.379
82,Senate,3536,44,0,GA,100,0,1,"GEORGE, Walter Franklin",G000131,1878,1957,-0.064,0.363,-111.32712,0.655,263,49,,0.012,0.864
82,Senate,8138,44,0,GA,100,0,1,"RUSSELL, Richard Brevard, Jr.",R000536,1897,1971,0.005,1.0,-69.12571,0.721,211,33,,-0.166,0.986
82,Senate,2803,63,0,ID,200,0,1,"DWORSHAK, Henry Clarence",D000585,1894,1962,0.402,0.056,-65.17192,0.804,299,28,,0.448,-0.034
82,Senate,9930,63,0,ID,200,0,1,"WELKER, Herman",W000269,1906,1957,0.493,0.343,-53.59751,0.82,270,23,,0.509,0.087
82,Senate,2609,21,0,IL,200,0,1,"DIRKSEN, Everett McKinley",D000360,1896,1969,0.317,-0.498,-75.77237,0.746,258,35,,0.571,-0.677
82,Senate,2691,21,0,IL,100,0,1,"DOUGLAS, Paul Howard",D000456,1892,1976,-0.58,-0.815,-138.96081,0.618,289,64,,-0.32,-0.947
82,Senate,1489,22,0,IN,200,0,1,"CAPEHART, Homer Earl",C000128,1897,1979,0.37,-0.222,-78.77408,0.743,265,40,,0.428,0.121
82,Senate,4922,22,0,IN,200,0,1,"JENNER, William Ezra",J000093,1908,1985,0.572,-0.011,-46.9829,0.817,232,26,,0.662,-0.011
82,Senate,3603,31,0,IA,100,0,1,"GILLETTE, Guy Mark",G000205,1879,1973,-0.076,0.356,-131.8252,0.576,239,65,,-0.088,0.17
82,Senate,4382,31,0,IA,200,0,1,"HICKENLOOPER, Bourke Blakemore",H000559,1896,1971,0.372,-0.316,-60.56448,0.791,259,19,,0.398,-0.236
82,Senate,1510,32,0,KS,200,0,1,"CARLSON, Frank",C000154,1893,1987,0.232,-0.243,-81.55769,0.695,224,41,,0.291,0.192
82,Senate,8270,32,0,KS,200,0,1,"SCHOEPPEL, Andrew Frank",S000138,1894,1962,0.377,0.012,-85.53652,0.748,295,46,,0.434,0.066
82,Senate,1659,51,0,KY,100,1,1,"CHAPMAN, Virgil Munday",C000317,1895,1951,-0.118,0.761,,,,,,-0.18,0.984
82,Senate,1831,51,0,KY,100,0,1,"CLEMENTS, Earle C.",C000506,1896,1985,-0.233,0.428,-65.80431,0.79,279,27,,-0.267,0.613
82,Senate,9561,51,0,KY,100,2,5,"UNDERWOOD, Thomas Rust",U000015,1898,1956,-0.257,0.6,,,,,,-0.214,0.566
82,Senate,2901,45,0,LA,100,0,1,"ELLENDER, Allen Joseph",E000112,1890,1972,-0.089,0.996,-93.18316,0.724,288,38,,-0.085,0.996
82,Senate,5767,45,0,LA,100,0,1,"LONG, Russell Billiu",L000428,1918,2003,-0.18,0.873,-125.70728,0.647,289,63,,-0.155,0.742
82,Senate,1021,2,0,ME,200,0,1,"BREWSTER, Ralph Owen",B000816,1888,1961,0.271,-0.393,-62.31359,0.77,238,26,,0.298,-0.649
82,Senate,8666,2,0,ME,200,0,1,"SMITH, Margaret Chase",S000590,1897,1995,0.1,-0.378,-131.37652,0.643,298,70,,0.199,-0.747
82,Senate,1341,52,0,MD,200,0,1,"BUTLER, John Marshall",B001180,1897,1978,0.368,-0.212,-68.77218,0.781,278,30,,0.328,-0.392
82,Senate,7020,52,0,MD,100,0,1,"O'CONOR, Herbert Romulus",O000032,1896,1960,-0.047,0.003,-131.40294,0.591,250,74,,0.025,-0.182
82,Senate,5739,3,0,MA,200,0,1,"LODGE, Henry Cabot, Jr.",L000394,1902,1985,0.083,-0.997,-101.34211,0.703,288,50,,0.036,-0.747
82,Senate,8185,3,0,MA,200,0,1,"SALTONSTALL, Leverett",S000021,1892,1979,0.175,-0.536,-105.35313,0.689,283,46,,0.071,-0.687
82,Senate,3110,23,0,MI,200,0,1,"FERGUSON, Homer Samuel",F000081,1889,1982,0.32,-0.947,-77.53988,0.766,291,32,,0.401,-0.916
82,Senate,6613,23,0,MI,100,2,5,"MOODY, Arthur Edson Blair",M000878,1902,1954,-0.416,-0.877,-55.82775,0.801,252,21,,-0.42,-0.907
82,Senate,9604,23,0,MI,200,1,1,"VANDENBERG, Arthur Hendrick",V000025,1884,1951,0.207,-0.172,,,,,,,
82,Senate,4728,33,0,MN,100,0,1,"HUMPHREY, Hubert Horatio, Jr.",H000953,1911,1978,-0.397,-0.093,-46.48913,0.844,275,18,,-0.519,-0.165
82,Senate,9374,33,0,MN,200,0,1,"THYE, Edward John",T000259,1896,1969,0.125,-0.337,-117.96983,0.656,280,60,,0.133,-0.178
82,Senate,2822,46,0,MS,100,0,1,"EASTLAND, James Oliver",E000018,1904,1986,0.024,1.0,-88.39366,0.702,250,43,,0.016,0.751
82,Senate,8883,46,0,MS,100,0,1,"STENNIS, John Cornelius",S000852,1901,1995,-0.056,0.998,-83.70295,0.752,294,35,,-0.062,0.865
82,Senate,4328,34,0,MO,100,0,1,"HENNINGS, Thomas Carey, Jr.",H000502,1903,1960,-0.356,-0.038,-67.28402,0.795,293,32,,-0.327,0.158
82,Senate,5158,34,0,MO,200,0,1,"KEM, James Preston",K000082,1890,1965,0.499,-0.057,-80.84031,0.732,259,35,,0.385,-0.04
82,Senate,2838,64,0,MT,200,0,1,"ECTON, Zales Nelson",E000037,1898,1961,0.432,0.419,-101.49365,0.648,234,50,,0.365,0.447
82,Senate,6820,64,0,MT,100,0,1,"MURRAY, James Edward",M001108,1876,1961,-0.432,0.35,-47.1628,0.817,234,22,,-0.659,0.143
82,Senate,1338,35,0,NE,200,0,1,"BUTLER, Hugh Alfred",B001177,1878,1954,0.484,0.14,-48.28518,0.818,241,18,,0.444,0.372
82,Senate,8337,35,0,NE,200,2,5,"SEATON, Frederick Andrew",S000214,1909,1974,0.072,-0.579,-23.13916,0.704,66,11,,0.07,-0.57
82,Senate,9998,35,0,NE,200,1,1,"WHERRY, Kenneth Spicer",W000344,1892,1951,0.544,0.221,-24.40834,0.843,143,5,,0.624,0.091
82,Senate,5944,65,0,NV,200,0,1,"MALONE, George Wilson",M000086,1890,1961,0.312,0.413,-91.59723,0.674,232,48,,0.362,0.516
82,Senate,6132,65,0,NV,100,0,1,"McCARRAN, Patrick Anthony (Pat)",M000308,1876,1954,0.06,0.659,-96.05842,0.661,232,41,,0.096,0.667
82,Senate,1027,4,0,NH,200,0,1,"BRIDGES, Henry Styles (Styles)",B000823,1898,1961,0.372,-0.475,-69.74129,0.755,248,32,,0.353,-0.61
82,Senate,9401,4,0,NH,200,0,1,"TOBEY, Charles William",T000289,1880,1953,0.06,-0.692,-91.53874,0.627,196,43,,-0.053,-0.601
82,Senate,4321,12,0,NJ,200,0,1,"HENDRICKSON, Robert Clymer",H000495,1898,1964,0.248,-0.969,-87.50893,0.747,300,43,,0.211,-0.977
82,Senate,8635,12,0,NJ,200,0,1,"SMITH, Howard Alexander",S000553,1880,1966,0.159,-0.873,-80.53762,0.76,293,33,,0.122,-0.906
82,Senate,165,66,0,NM,100,0,1,"ANDERSON, Clinton Presba",A000186,1895,1975,-0.201,0.213,-43.20334,0.794,187,16,,-0.41,0.129
82,Senate,1678,66,0,NM,100,0,1,"CHAVEZ, Dennis",C000338,1888,1962,-0.206,0.391,-88.31568,0.671,221,39,,-0.21,0.547
82,Senate,4834,13,0,NY,200,0,1,"IVES, Irving McNeil",I000050,1896,1962,0.043,-0.999,-95.35299,0.727,299,57,,-0.007,-1.0
82,Senate,5591,13,0,NY,100,0,1,"LEHMAN, Herbert Henry",L000224,1878,1963,-0.658,-0.401,-41.86278,0.867,293,16,,-0.605,-0.179
82,Senate,4483,47,0,NC,100,0,1,"HOEY, Clyde Roark",H000679,1877,1954,-0.02,0.58,-113.37677,0.682,296,56,,-0.008,0.492
82,Senate,8708,47,0,NC,100,0,1,"SMITH, Willis",S000639,1887,1953,0.073,0.953,-96.97967,0.681,252,42,,0.074,0.821
82,Senate,5452,36,0,ND,200,0,1,"LANGER, William",L000070,1886,1959,0.023,0.436,-194.48752,0.391,207,101,,0.094,0.337
82,Senate,10450,36,0,ND,200,0,1,"YOUNG, Milton Ruben",Y000047,1897,1983,0.172,0.187,-143.10714,0.583,265,77,,0.22,0.559
82,Senate,1024,24,0,OH,200,0,1,"BRICKER, John William",B000820,1893,1986,0.528,-0.247,-48.09433,0.837,271,14,,0.539,-0.398
82,Senate,9152,24,0,OH,200,0,1,"TAFT, Robert Alphonso",T000009,1889,1953,0.364,-0.692,-63.10812,0.79,268,31,,0.338,-0.622
82,Senate,5213,53,0,OK,100,0,1,"KERR, Robert Samuel",K000144,1896,1963,-0.209,0.726,-56.25669,0.81,267,17,,-0.28,0.96
82,Senate,6597,53,0,OK,100,0,1,"MONRONEY, Almer Stillwell Mike",M000859,1902,1980,-0.264,0.36,-78.28338,0.743,263,38,,-0.253,0.297
82,Senate,2066,72,0,OR,200,0,1,"CORDON, Guy",C000774,1890,1969,0.225,0.075,-163.29838,0.566,287,84,,0.19,0.293
82,Senate,96738,72,0,OR,200,0,1,"MORSE, Wayne Lyman",M001014,1900,1974,-0.186,-0.697,-132.02412,0.619,275,72,,-0.2,-0.707
82,Senate,2745,14,0,PA,200,0,1,"DUFF, James Henderson",D000516,1883,1969,0.091,-0.666,-76.64989,0.669,191,35,,0.064,-0.393
82,Senate,6021,14,0,PA,200,0,1,"MARTIN, Edward",M000177,1879,1967,0.441,-0.497,-54.64406,0.791,233,22,,0.353,-0.265
82,Senate,3783,5,0,RI,100,0,1,"GREEN, Theodore Francis",G000418,1867,1966,-0.342,-0.025,-66.14825,0.784,272,27,,-0.43,0.376
82,Senate,7229,5,0,RI,100,0,1,"PASTORE, John Orlando",P000100,1907,2000,-0.256,-0.144,-81.43196,0.75,283,37,,-0.325,-0.148
82,Senate,5009,48,0,SC,100,0,1,"JOHNSTON, Olin DeWitt Talmadge",J000195,1896,1965,-0.166,0.986,-112.84513,0.655,267,57,,-0.065,0.998
82,Senate,6107,48,0,SC,100,0,1,"MAYBANK, Burnet Rhett",M000279,1899,1954,-0.126,0.901,-84.75578,0.736,276,42,,-0.078,0.997
82,Senate,1570,37,0,SD,200,0,1,"CASE, Francis Higbee",C000221,1896,1962,0.239,0.032,-112.58224,0.658,269,52,,0.265,0.031
82,Senate,6796,37,0,SD,200,0,1,"MUNDT, Karl Earl",M001078,1900,1974,0.275,-0.018,-107.95041,0.699,301,55,,0.302,0.275
82,Senate,5122,54,0,TN,100,0,1,"KEFAUVER, Carey Estes",K000044,1903,1963,-0.429,0.372,-52.13876,0.795,227,20,,-0.37,0.161
82,Senate,6293,54,0,TN,100,0,1,"McKELLAR, Kenneth Douglas",M000499,1869,1957,-0.209,0.312,-126.08025,0.628,271,61,,-0.109,0.994
82,Senate,1986,49,0,TX,100,0,1,"CONNALLY, Thomas Terry (Tom)",C000684,1877,1963,-0.195,0.581,-75.5438,0.761,277,36,,-0.188,0.945
82,Senate,4979,49,0,TX,100,0,1,"JOHNSON, Lyndon Baines",J000160,1908,1973,-0.242,0.528,-75.88934,0.772,293,34,,-0.209,0.835
82,Senate,645,67,0,UT,200,0,1,"BENNETT, Wallace Foster",B000384,1898,1993,0.447,-0.334,-61.28674,0.808,288,25,,0.492,-0.283
82,Senate,9865,67,0,UT,200,0,1,"WATKINS, Arthur Vivian",W000190,1886,1973,0.312,-0.224,-89.17435,0.717,268,41,,0.289,-0.115
82,Senate,52,6,0,VT,200,0,1,"AIKEN, George David",A000062,1892,1984,0.062,-0.435,-127.58326,0.631,277,63,,0.014,-0.586
82,Senate,3206,6,0,VT,200,0,1,"FLANDERS, Ralph Edward",F000190,1880,1970,0.175,-0.789,-67.93597,0.742,228,27,,0.182,-0.906
82,Senate,1365,40,0,VA,100,0,1,"BYRD, Harry Flood",B001208,1887,1966,0.188,0.564,-84.11734,0.675,214,40,,0.205,0.298
82,Senate,7958,40,0,VA,100,0,1,"ROBERTSON, Absalom Willis",R000317,1887,1971,0.078,0.754,-174.3931,0.54,283,83,,0.062,0.324
82,Senate,1395,73,0,WA,200,0,1,"CAIN, Harry Pulliam",C000021,1906,1979,0.352,-0.016,-101.10215,0.667,250,54,,0.28,-0.005
82,Senate,5913,73,0,WA,100,0,1,"MAGNUSON, Warren Grant",M000053,1905,1989,-0.325,0.179,-69.74443,0.774,272,24,,-0.369,0.099
82,Senate,5240,56,0,WV,100,0,1,"KILGORE, Harley Martin",K000176,1893,1956,-0.476,0.073,-75.10992,0.773,292,34,,-0.39,0.223
82,Senate,6856,56,0,WV,100,0,1,"NEELY, Matthew Mansfield",N000023,1874,1958,-0.346,0.311,-64.71115,0.796,283,27,,-0.398,0.231
82,Senate,6137,25,0,WI,200,0,1,"McCARTHY, Joseph Raymond",M000315,1908,1957,0.287,0.01,-71.91482,0.753,253,33,,0.304,-0.12
82,Senate,10110,25,0,WI,200,0,1,"WILEY, Alexander",W000465,1884,1967,0.169,-0.4,-93.5101,0.671,234,51,,0.199,-0.361
82,Senate,4747,68,0,WY,100,0,1,"HUNT, Lester Callaway",H000975,1892,1954,-0.165,0.242,-102.9213,0.669,256,53,,-0.199,-0.03
82,Senate,7070,68,0,WY,100,0,1,"O'MAHONEY, Joseph Christopher",O000088,1884,1962,-0.236,0.243,-97.77226,0.684,257,48,,-0.21,-0.011
