congress,chamber,rollnumber,icpsr,cast_code,prob
82,Senate,1,52,6,99.0
82,Senate,1,165,1,99.4
82,Senate,1,645,6,100.0
82,Senate,1,659,1,99.2
82,Senate,1,1021,6,100.0
82,Senate,1,1024,6,100.0
82,Senate,1,1027,6,100.0
82,Senate,1,1338,6,100.0
82,Senate,1,1341,6,100.0
82,Senate,1,1365,7,44.0
82,Senate,1,1395,7,100.0
82,Senate,1,1489,7,100.0
82,Senate,1,1510,6,99.9
82,Senate,1,1570,6,99.2
82,Senate,1,1659,1,100.0
82,Senate,1,1678,1,99.9
82,Senate,1,1831,1,100.0
82,Senate,1,1986,1,100.0
82,Senate,1,2066,6,98.4
82,Senate,1,2609,6,100.0
82,Senate,1,2691,1,97.2
82,Senate,1,2745,7,99.9
82,Senate,1,2803,6,100.0
82,Senate,1,2822,1,99.5
82,Senate,1,2838,6,99.5
82,Senate,1,2901,1,100.0
82,Senate,1,3110,6,100.0
82,Senate,1,3206,6,100.0
82,Senate,1,3349,1,85.6
82,Senate,1,3388,1,100.0
82,Senate,1,3536,1,95.4
82,Senate,1,3603,1,96.2
82,Senate,1,3783,1,99.8
82,Senate,1,4227,1,99.9
82,Senate,1,4321,6,100.0
82,Senate,1,4328,1,99.9
82,Senate,1,4382,7,100.0
82,Senate,1,4418,1,100.0
82,Senate,1,4483,2,97.3
82,Senate,1,4520,1,95.5
82,Senate,1,4728,1,99.9
82,Senate,1,4747,1,98.9
82,Senate,1,4834,6,100.0
82,Senate,1,4922,6,100.0
82,Senate,1,4949,1,93.2
82,Senate,1,4979,1,100.0
82,Senate,1,5009,1,100.0
82,Senate,1,5122,1,100.0
82,Senate,1,5158,5,100.0
82,Senate,1,5213,1,100.0
82,Senate,1,5240,1,100.0
82,Senate,1,5343,6,100.0
82,Senate,1,5452,6,14.9
82,Senate,1,5591,1,100.0
82,Senate,1,5739,6,100.0
82,Senate,1,5767,1,100.0
82,Senate,1,5913,3,100.0
82,Senate,1,5944,7,95.8
82,Senate,1,6021,6,100.0
82,Senate,1,6107,2,100.0
82,Senate,1,6132,1,91.5
82,Senate,1,6137,7,99.8
82,Senate,1,6151,1,99.5
82,Senate,1,6242,1,100.0
82,Senate,1,6293,1,99.8
82,Senate,1,6346,1,95.0
82,Senate,1,6525,6,99.9
82,Senate,1,6597,1,100.0
82,Senate,1,6796,6,99.8
82,Senate,1,6820,1,100.0
82,Senate,1,6856,1,100.0
82,Senate,1,6939,6,99.9
82,Senate,1,7020,1,60.8
82,Senate,1,7070,1,99.8
82,Senate,1,7229,1,96.5
82,Senate,1,7958,1,92.9
82,Senate,1,8138,1,99.7
82,Senate,1,8185,6,100.0
82,Senate,1,8270,6,100.0
82,Senate,1,8593,1,100.0
82,Senate,1,8635,6,100.0
82,Senate,1,8666,6,99.4
82,Senate,1,8708,1,97.9
82,Senate,1,8764,3,100.0
82,Senate,1,8883,1,100.0
82,Senate,1,9152,6,100.0
82,Senate,1,9374,6,99.6
82,Senate,1,9401,5,99.9
82,Senate,1,9604,7,99.8
82,Senate,1,9865,6,100.0
82,Senate,1,9930,6,99.9
82,Senate,1,9998,6,100.0
82,Senate,1,10110,6,99.9
82,Senate,1,10163,6,100.0
82,Senate,1,10450,6,89.9
82,Senate,1,96738,6,75.2
82,Senate,2,52,1,
82,Senate,2,165,3,
82,Senate,2,645,1,
82,Senate,2,659,1,
82,Senate,2,1021,1,
82,Senate,2,1024,1,
82,Senate,2,1027,1,
82,Senate,2,1338,1,
82,Senate,2,1341,1,
82,Senate,2,1365,1,
82,Senate,2,1395,3,
82,Senate,2,1489,1,
82,Senate,2,1510,1,
82,Senate,2,1570,1,
82,Senate,2,1659,1,
82,Senate,2,1678,1,
82,Senate,2,1831,1,
82,Senate,2,1986,1,
82,Senate,2,2066,1,
82,Senate,2,2609,1,
82,Senate,2,2691,1,
82,Senate,2,2745,1,
82,Senate,2,2803,1,
82,Senate,2,2822,1,
82,Senate,2,2838,1,
82,Senate,2,2901,1,
82,Senate,2,3110,1,
82,Senate,2,3206,1,
82,Senate,2,3349,1,
82,Senate,2,3388,1,
82,Senate,2,3536,1,
82,Senate,2,3603,1,
82,Senate,2,3783,7,
82,Senate,2,4227,1,
82,Senate,2,4321,1,
82,Senate,2,4328,1,
82,Senate,2,4382,1,
82,Senate,2,4418,1,
82,Senate,2,4483,1,
82,Senate,2,4520,1,
82,Senate,2,4728,1,
82,Senate,2,4747,1,
82,Senate,2,4834,1,
82,Senate,2,4922,1,
82,Senate,2,4949,1,
82,Senate,2,4979,1,
82,Senate,2,5009,1,
82,Senate,2,5122,1,
82,Senate,2,5158,1,
82,Senate,2,5213,1,
82,Senate,2,5240,1,
82,Senate,2,5343,1,
82,Senate,2,5452,1,
82,Senate,2,5591,1,
82,Senate,2,5739,1,
82,Senate,2,5767,1,
82,Senate,2,5913,1,
82,Senate,2,5944,1,
82,Senate,2,6021,1,
82,Senate,2,6107,3,
82,Senate,2,6132,1,
82,Senate,2,6137,1,
82,Senate,2,6151,1,
82,Senate,2,6242,1,
82,Senate,2,6293,1,
82,Senate,2,6346,1,
82,Senate,2,6525,1,
82,Senate,2,6597,1,
82,Senate,2,6796,1,
82,Senate,2,6820,1,
82,Senate,2,6856,1,
82,Senate,2,6939,1,
82,Senate,2,7020,1,
82,Senate,2,7070,1,
82,Senate,2,7229,1,
82,Senate,2,7958,1,
82,Senate,2,8138,1,
82,Senate,2,8185,1,
82,Senate,2,8270,1,
82,Senate,2,8593,1,
82,Senate,2,8635,1,
82,Senate,2,8666,1,
82,Senate,2,8708,1,
82,Senate,2,8764,1,
82,Senate,2,8883,1,
82,Senate,2,9152,1,
82,Senate,2,9374,1,
82,Senate,2,9401,1,
82,Senate,2,9604,3,
82,Senate,2,9865,1,
82,Senate,2,9930,1,
82,Senate,2,9998,1,
82,Senate,2,10110,1,
82,Senate,2,10163,1,
82,Senate,2,10450,1,
82,Senate,2,96738,1,
82,Senate,3,52,6,99.1
82,Senate,3,165,7,93.4
82,Senate,3,645,6,86.8
82,Senate,3,659,6,100.0
82,Senate,3,1021,6,95.0
82,Senate,3,1024,6,81.3
